view,column,kept_for_ml,reason,dtype,non_null_pct,unique_values
temporal_lag,location_accuracy,True,kept,float64,100.0,13408
temporal_lag,altitude,True,kept,float64,100.0,17193
temporal_lag,distance_from_prev_m,True,kept,float64,99.52230287238663,27801
temporal_lag,lte_rsrp,True,kept,float64,100.0,31592
temporal_lag,lte_rsrq,True,kept,float64,100.0,28612
temporal_lag,lte_sinr,True,kept,float64,100.0,31730
temporal_lag,lte_rssi,True,kept,float64,100.0,31307
temporal_lag,carrier_count,True,kept,float64,100.0,3
temporal_lag,lte_agg_bandwidth_dl,True,kept,float64,99.99379614119984,6
temporal_lag,lte_bandwidth_dl,True,kept,float64,99.99379614119984,2
temporal_lag,scell1_rsrp,True,kept,float64,72.41143991562751,22225
temporal_lag,scell1_rsrq,True,kept,float64,72.38972640982692,20409
temporal_lag,scell1_sinr,True,kept,float64,72.41143991562751,22481
temporal_lag,neighbor_count,True,kept,int64,100.0,5
temporal_lag,best_neighbor_rsrp,True,kept,float64,99.82008809479497,14835
temporal_lag,strong_neighbor_count,True,kept,int64,100.0,5
temporal_lag,serving_minus_best_neighbor_rsrp,True,kept,float64,99.82008809479497,31925
temporal_lag,neighbor_pci_count,True,kept,int64,100.0,5
temporal_lag,ml_log1p_measurement_report_event_count_prev5s,False,constant or single-value feature,float64,100.0,1
temporal_lag,ml_log1p_handover_execution_count_prev5s,False,constant or single-value feature,float64,100.0,1
temporal_lag,ml_log1p_handover_failure_count_prev10s,False,constant or single-value feature,float64,100.0,1
temporal_lag,ml_log1p_rach_attempt_count_prev10s,False,constant or single-value feature,float64,100.0,1
temporal_lag,ml_log1p_rach_failure_count_prev10s,False,constant or single-value feature,float64,100.0,1
temporal_lag,ml_log1p_ca_activation_change_count_prev10s,False,constant or single-value feature,float64,100.0,1
temporal_lag,ml_log1p_failure_other_count_prev10s,False,constant or single-value feature,float64,100.0,1
temporal_lag,lte_cqi,True,kept,float64,99.66499162479062,15
temporal_lag,lte_mcs,True,kept,float64,99.99689807059991,29
temporal_lag,lte_bler,True,kept,float64,99.99689807059991,23189
temporal_lag,lte_rank,True,kept,float64,99.6246665425895,4
temporal_lag,lte_rb_count,True,kept,float64,99.99689807059991,98
temporal_lag,lte_agg_rb_dl,True,kept,float64,100.0,286
temporal_lag,rb_usage_value,True,kept,float64,100.0,286
temporal_lag,rb_utilization_pct_clipped,True,kept,float64,100.0,370
temporal_lag,estimated_available_rb,True,kept,float64,100.0,5
temporal_lag,scell1_cqi,True,kept,float64,70.63403436937776,15
temporal_lag,scell1_mcs,True,kept,float64,68.78838637632607,32
temporal_lag,scell1_bler,True,kept,float64,68.79148830572616,15644
temporal_lag,scell1_rank,False,missing,missing,,0
temporal_lag,scell1_rb_count,True,kept,float64,68.79148830572616,100
temporal_lag,near_measurement_report_event_prev_flag,False,constant or single-value feature,bool,100.0,1
temporal_lag,near_handover_execution_prev_flag,False,constant or single-value feature,bool,100.0,1
temporal_lag,near_handover_failure_prev_flag,False,constant or single-value feature,bool,100.0,1
temporal_lag,near_rach_failure_prev_flag,False,constant or single-value feature,bool,100.0,1
temporal_lag,near_ca_activation_change_prev_flag,False,constant or single-value feature,bool,100.0,1
temporal_lag,near_failure_other_prev_flag,False,constant or single-value feature,bool,100.0,1
temporal_lag,download_activity_window_raw_flag,True,kept,bool,100.0,2
temporal_lag,download_analysis_window_flag,True,kept,bool,100.0,2
temporal_lag,inactive_download_context_flag,True,kept,bool,100.0,2
temporal_lag,ca_active_flag,False,missing,missing,,0
temporal_lag,rb_low_usage_flag,True,kept,bool,100.0,2
temporal_lag,rb_medium_or_high_usage_flag,True,kept,bool,100.0,2
temporal_lag,rb_high_usage_flag,True,kept,bool,100.0,2
