sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,expected_tp_p75,expected_tp_median,expected_tp_mean,expected_tp_group_n,expected_tp_p75_ci_low,expected_tp_p75_ci_high,expected_tp_p75_ci_width,fallback_level,group_cols,reference_scope,reference_name
Good,Fair,3.0,1,356,167.65220499999998,140.14526,134.72540571794872,39,152.071835875,195.76996,43.69812412499999,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Good,Good,1.0,1,356,11.144098,8.702228,10.954724857142857,42,8.93199155,17.263445299999997,8.331453749999998,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Good,Good,1.0,1,500,49.25754425,34.0052245,36.65535904347826,46,43.2627534,55.00196114374997,11.739207743749972,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Good,Good,1.0,28,9310,35.027044000000004,25.0556,27.51557212903226,31,29.005129,45.908522999999974,16.903393999999974,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Good,Good,1.0,3,1850,41.013215,27.63304,30.897565915614457,83,37.268982325,49.6256023,12.356619974999994,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Good,Good,1.0,41,40988,42.970739,25.87728,29.36582616571428,35,27.8926875,57.364613575,29.471926075,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Good,Good,1.0,41,41186,43.29117975,26.8910635,28.39858027878788,66,35.877386325,48.621715,12.744328674999998,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Good,Good,1.0,41,41384,33.43665875,20.3731995,23.3525575125,160,29.48508384375,37.02447165,7.5393878062500015,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Good,Good,2.0,1,356,47.91868,27.972176,33.14087007984,125,38.133614575,52.08494899999999,13.951334424999985,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Good,Good,2.0,1,500,81.48199,58.176216,58.653645186311785,263,76.60547912500002,87.74388,11.138400874999988,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Good,Good,2.0,28,9310,81.009805,59.73764,61.615495593220345,59,73.66547,91.08947487499996,17.424004874999966,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Good,Good,2.0,3,1850,79.6243025,49.7251285,54.38840391593137,408,74.31315853125,83.41454215625,9.101383624999997,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Good,Good,2.0,41,40790,83.886915,59.9783085,60.95293508730158,378,80.0458961875,89.44071493749999,9.394818749999985,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Good,Good,2.0,41,40988,64.715159,40.0484825,42.65064783317992,478,62.16203008125,67.01646586874999,4.8544357874999875,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Good,Good,2.0,41,41186,70.787155,47.06988,48.52961688871681,452,67.45570156875,73.16399675,5.708295181249994,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Good,Good,2.0,41,41384,70.7488185,46.524031,50.24045096761628,516,65.78364495000001,74.696253125,8.912608174999988,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Good,Good,3.0,1,500,173.72593999999998,140.2544,124.45326034664,75,162.320098,190.091365125,27.77126712500001,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Good,Excellent,1.0,1,500,59.882337750000005,44.1394915,43.802546529411764,34,53.6049173125,64.12231785624999,10.517400543749993,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Good,Excellent,1.0,28,9310,39.999618999999996,22.089984,23.19821052647059,34,28.73671475,45.9126435,17.17592875,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Good,Excellent,1.0,41,41186,38.59631525,25.1972315,26.70851782142857,56,31.471931425,40.27880799999999,8.80687657499999,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Good,Excellent,1.0,41,41384,35.42751825,22.2722645,25.059534665765764,222,31.801546568750002,41.508648,9.707101431249999,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Good,Excellent,2.0,1,356,29.48791625,22.5566925,24.992867931818182,44,26.253907081250002,38.11612425,11.862217168749996,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Good,Excellent,2.0,1,500,105.955109,72.29822,79.14150298913043,276,101.6735118,116.0858734375,14.412361637499998,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Good,Excellent,2.0,28,9310,103.01821000000001,55.058487,67.98679502105263,95,90.95206175000001,114.77058575,23.818523999999982,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Good,Excellent,2.0,3,1850,103.049195,74.583155,75.44210893167308,442,97.900950875,111.00551331250001,13.104562437500007,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Good,Excellent,2.0,41,40790,93.96716500000001,71.49157,68.30684148630137,146,88.1581639875,99.73109283749997,11.572928849999968,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Good,Excellent,2.0,41,40988,88.404305,66.3714,65.03794514561403,285,84.99633925,98.06829,13.07195075,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Good,Excellent,2.0,41,41186,75.82043,55.954967,53.96155932486188,181,71.35935574999999,80.14434149999998,8.78498574999999,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Good,Excellent,2.0,41,41384,98.07729499999999,66.04088,70.52890712542757,283,89.62662882500001,106.07081299999999,16.444184174999975,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Good,Excellent,3.0,1,500,112.23935499999999,81.08958,88.20982092063493,63,94.57729692499998,141.4955805,46.918283575000004,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
