site_sector_ID,siteID,sectors_count,sectorID,Requires_Planning,Azimuth,Latitude,Longitude,Freq Band,Cell Radius,RSI,PCI,Mod4,Unnamed: 15,PCI_numeric,Mod4_numeric,Expected_Mod4,Mod4_Matches
ALX3998-1,ALX3998,4,91,False,20,30.851296,28.948749,N41,7000,795.0,111.0,3.0,,111.0,3.0,3.0,True
ALX3998-2,ALX3998,4,92,False,190,30.851296,28.948749,N41,7000,790.0,954.0,2.0,,954.0,2.0,2.0,True
ALX3998-3,ALX3998,4,93,False,250,30.851296,28.948749,N41,7000,785.0,157.0,1.0,,157.0,1.0,1.0,True
ALX3998-4,ALX3998,4,94,False,310,30.851296,28.948749,N41,7000,780.0,492.0,0.0,,492.0,0.0,0.0,True
ALX3999-1,ALX3999,2,91,False,80,31.0035,28.648111,N41,7000,168.0,255.0,3.0,,255.0,3.0,3.0,True
ALX3999-2,ALX3999,2,92,False,135,31.0035,28.648111,N41,7000,128.0,65.0,1.0,,65.0,1.0,1.0,True
ALX6004-1,ALX6004,2,91,False,90,31.2700819,30.0184678,N41,7000,450.0,645.0,1.0,,645.0,1.0,1.0,True
ALX6004-2,ALX6004,2,92,False,210,31.2700819,30.0184678,N41,7000,435.0,428.0,0.0,,428.0,0.0,0.0,True
ALX6005-1,ALX6005,3,91,False,0,31.256884,30.00556,N41,7000,785.0,429.0,1.0,,429.0,1.0,1.0,True
ALX6005-2,ALX6005,3,92,False,180,31.256884,30.00556,N41,7000,710.0,799.0,3.0,,799.0,3.0,3.0,True
ALX6005-3,ALX6005,3,93,False,270,31.256884,30.00556,N41,7000,580.0,376.0,0.0,,376.0,0.0,0.0,True
ALX6009-1,ALX6009,4,91,False,30,30.894267,28.873024,N41,7000,160.0,1005.0,1.0,,1005.0,1.0,1.0,True
ALX6009-2,ALX6009,4,92,False,90,30.894267,28.873024,N41,7000,152.0,614.0,2.0,,614.0,2.0,2.0,True
ALX6009-3,ALX6009,4,93,False,165,30.894267,28.873024,N41,7000,112.0,628.0,0.0,,628.0,0.0,0.0,True
ALX6009-4,ALX6009,4,94,False,280,30.894267,28.873024,N41,7000,104.0,739.0,3.0,,739.0,3.0,3.0,True
ALX6016-1,ALX6016,4,91,False,115,30.962023,28.777482,N41,7000,440.0,942.0,2.0,,942.0,2.0,2.0,True
ALX6016-2,ALX6016,4,92,False,175,30.962023,28.777482,N41,7000,432.0,977.0,1.0,,977.0,1.0,1.0,True
ALX6016-3,ALX6016,4,93,False,235,30.962023,28.777482,N41,7000,424.0,732.0,0.0,,732.0,0.0,0.0,True
