serving_cell_key,serving_eci,serving_pci,serving_earfcn,approx_latitude,approx_longitude,location_uncertainty_radius_m,p90_observation_spread_m,anomaly_gps_rows,sessions,max_incident_priority_0_100,dominant_case,coverage_or_planning_review,location_reliability,location_is_tower_coordinate,location_method
ECI:1072180.0,1072180.0,448.0,41186.0,-17.7534753,177.4607174,0.0,0.0,1,1,53.94,radio_limited_degradation,True,LOW,False,anomaly_observation_centroid
ECI:1067028.0,1067028.0,123.0,40988.0,-17.7711259,177.43958516,0.0,0.0,1,1,53.93,radio_limited_degradation,True,LOW,False,anomaly_observation_centroid
ECI:1066815.0,1066815.0,157.0,40988.0,-17.768686549999998,177.37635845,3.8823303017673174,3.8823303017673174,2,1,53.91,radio_limited_degradation,True,LOW,False,anomaly_observation_centroid
ECI:3640385.0,3640385.0,275.0,41384.0,-17.6348288,177.45653989,190.3649227901213,190.3649227901213,4,1,53.88,ca_underperformance,False,LOW,False,anomaly_observation_centroid
ECI:3642944.0,3642944.0,314.0,41384.0,-17.631749145,177.44534913,13.177395008939264,13.177395008939264,2,1,53.88,temporal_local_drop,False,LOW,False,anomaly_observation_centroid
ECI:1070150.0,1070150.0,330.0,9310.0,-17.8149557,177.4387513,0.0,0.0,1,1,53.87,radio_limited_degradation,True,LOW,False,anomaly_observation_centroid
ECI:1079110.0,1079110.0,168.0,500.0,-17.619297,177.45027299999998,4.3711854528111,4.3711854528111,2,1,53.86,radio_limited_degradation,True,LOW,False,anomaly_observation_centroid
ECI:1077575.0,1077575.0,184.0,9310.0,-17.6044316,177.4591219,0.0,0.0,1,1,53.68,radio_limited_degradation,True,LOW,False,anomaly_observation_centroid
ECI:1072190.0,1072190.0,448.0,40790.0,-17.7556717,177.46335923,340.46937397551824,340.46937397551824,5,2,53.67,radio_limited_degradation,True,MEDIUM,False,anomaly_observation_centroid
EARFCN:500.0|PCI:165.0,,165.0,500.0,-17.63117434,177.4561668,0.0,0.0,1,1,53.65,temporal_local_drop,False,LOW,False,anomaly_observation_centroid
ECI:3642885.0,3642885.0,315.0,1850.0,-17.631057149999997,177.43949785,24.239469432603045,24.239469432603045,4,1,53.64,radio_limited_degradation,True,LOW,False,anomaly_observation_centroid
ECI:1075914.0,1075914.0,437.0,500.0,-17.6487331,177.4086611,0.0,0.0,1,1,53.53,temporal_sudden_drop,False,LOW,False,anomaly_observation_centroid
ECI:1067325.0,1067325.0,108.0,40790.0,-17.76510725,177.48889730000002,244.10341214459862,244.10341214459862,2,1,53.42,radio_limited_degradation,True,LOW,False,anomaly_observation_centroid
EARFCN:41384.0|PCI:178.0,,178.0,41384.0,-17.6175843,177.4734518,0.0,0.0,1,1,53.32,temporal_local_drop,False,LOW,False,anomaly_observation_centroid
ECI:1075519.0,1075519.0,315.0,40988.0,-17.70734302,177.44063707,0.0,0.0,1,1,53.24,temporal_local_drop,False,LOW,False,anomaly_observation_centroid
ECI:1067296.0,1067296.0,110.0,1850.0,-17.764279469999998,177.46401668,1394.310938291113,1394.310938291113,4,3,53.12,ca_underperformance,True,LOW,False,anomaly_observation_centroid
ECI:3642945.0,3642945.0,315.0,41384.0,-17.63132452,177.4404842,0.0,0.0,1,1,53.1,radio_limited_degradation,True,LOW,False,anomaly_observation_centroid
ECI:1080088.0,1080088.0,196.0,356.0,-17.607710830000002,177.46018524,349.88607035283,349.88607035283,4,2,53.09,ca_underperformance,True,LOW,False,anomaly_observation_centroid
ECI:1081918.0,1081918.0,180.0,40790.0,-17.6156906,177.4399962,0.0,0.0,1,1,53.05,radio_limited_degradation,True,LOW,False,anomaly_observation_centroid
ECI:1071640.0,1071640.0,395.0,356.0,-17.814093059999998,177.435442035,0.2822523649559013,0.2822523649559013,2,1,53.03,ca_underperformance,True,LOW,False,anomaly_observation_centroid
ECI:1081921.0,1081921.0,394.0,40988.0,-17.61646686,177.441275,0.0,0.0,1,1,52.99,temporal_local_drop,False,LOW,False,anomaly_observation_centroid
ECI:1065527.0,1065527.0,133.0,41384.0,-17.783653209999997,177.41837397,154.48389236860191,154.48389236860191,2,2,52.81,radio_limited_degradation,True,LOW,False,anomaly_observation_centroid
ECI:1068855.0,1068855.0,111.0,41384.0,-17.76791935,177.4742335,4.681436695932349,4.681436695932349,2,1,52.63,ca_underperformance,False,LOW,False,anomaly_observation_centroid
ECI:1079183.0,1079183.0,140.0,41384.0,-17.6158546,177.44948554,545.9466042855008,545.9466042855008,4,2,52.62,ca_underperformance,True,LOW,False,anomaly_observation_centroid
ECI:3631425.0,3631425.0,215.0,41384.0,-17.7383531,177.45612,0.0,0.0,1,1,52.58,radio_limited_degradation,True,LOW,False,anomaly_observation_centroid
ECI:3624007.0,3624007.0,153.0,9310.0,-17.779192525,177.38066407999997,43.28170050753207,43.28170050753207,2,1,52.53,temporal_local_drop,False,LOW,False,anomaly_observation_centroid
ECI:1080094.0,1080094.0,184.0,1850.0,-17.604950664999997,177.45751911500003,5.682539843577673,5.682539843577673,2,1,52.51,radio_limited_degradation,True,LOW,False,anomaly_observation_centroid
ECI:1069346.0,1069346.0,403.0,1850.0,-17.779202235,177.42578957,1.0000274966169829,1.0000274966169829,2,1,52.48,temporal_local_drop,False,LOW,False,anomaly_observation_centroid
ECI:1067590.0,1067590.0,140.0,500.0,-17.796493169999998,177.400473975,20.29319256781982,20.29319256781982,2,1,52.45,radio_limited_degradation,True,LOW,False,anomaly_observation_centroid
ECI:1078559.0,1078559.0,164.0,1850.0,-17.652187785000002,177.442709065,3.404421805567919,3.404421805567919,2,1,52.42,ca_underperformance,False,LOW,False,anomaly_observation_centroid
ECI:3638785.0,3638785.0,251.0,1850.0,-17.6313646,177.4764449,0.0,0.0,1,1,52.4,radio_limited_degradation,True,LOW,False,anomaly_observation_centroid
ECI:1079240.0,1079240.0,383.0,500.0,-17.61278831,177.448404435,10.352585931402519,10.352585931402519,2,1,52.33,ca_underperformance,True,LOW,False,anomaly_observation_centroid
ECI:3624137.0,3624137.0,153.0,356.0,-17.77998904,177.38357653,221.9291573163928,221.9291573163928,3,2,52.3,radio_limited_degradation,True,LOW,False,anomaly_observation_centroid
ECI:1079582.0,1079582.0,347.0,1850.0,-17.6235524,177.4325984,0.0,0.0,1,1,52.18,radio_limited_degradation,True,LOW,False,anomaly_observation_centroid
ECI:1067318.0,1067318.0,82.0,41384.0,-17.76869953,177.48811255,0.0,0.0,1,1,52.17,radio_limited_degradation,True,LOW,False,anomaly_observation_centroid
EARFCN:41186.0|PCI:231.0,,231.0,41186.0,-17.62203,177.4550741,0.0,0.0,1,1,52.17,radio_limited_degradation,True,LOW,False,anomaly_observation_centroid
ECI:1081920.0,1081920.0,169.0,40988.0,-17.617664945,177.445306825,0.019209603716728002,0.019209603716728002,2,1,52.02,radio_limited_degradation,True,LOW,False,anomaly_observation_centroid
ECI:1068853.0,1068853.0,111.0,41384.0,-17.7680778,177.475643,207.2520890785562,207.2520890785562,9,4,51.93,ca_underperformance,False,MEDIUM,False,anomaly_observation_centroid
ECI:1065250.0,1065250.0,331.0,1850.0,-17.8033791,177.41470414999998,10.311235175192998,10.311235175192998,4,1,51.93,ca_underperformance,True,LOW,False,anomaly_observation_centroid
ECI:1073430.0,1073430.0,82.0,500.0,-17.7703756,177.4876701,93.61249976486617,93.61249976486617,2,1,51.75,radio_limited_degradation,True,LOW,False,anomaly_observation_centroid
ECI:1079090.0,1079090.0,168.0,41186.0,-17.6231371,177.45355512499998,6.919891840792442,6.919891840792442,2,1,51.68,radio_limited_degradation,True,LOW,False,anomaly_observation_centroid
ECI:1073471.0,1073471.0,80.0,40988.0,-17.7713145,177.4877031,0.0,0.0,1,1,51.65,radio_limited_degradation,True,LOW,False,anomaly_observation_centroid
EARFCN:41384.0|PCI:81.0,,81.0,41384.0,-17.7788295,177.4829867,0.0,0.0,1,1,51.64,temporal_local_drop,False,LOW,False,anomaly_observation_centroid
ECI:1076534.0,1076534.0,182.0,41384.0,-17.6119182,177.4486743,186.6951264552264,186.6951264552264,3,2,51.53,ca_underperformance,True,LOW,False,anomaly_observation_centroid
