serving_pci,rows,sessions,median_tp_mbps,p10_tp_mbps,mean_tp_mbps,low_tp_pct,stat_anomaly_pct,rca_handoff_pct,median_p75_gap_mbps,p90_p75_gap_mbps,median_rsrp_dbm,median_rsrq_db,median_sinr_db,median_cqi,median_mcs,median_bler_pct,p90_bler_pct,median_rb_usage,median_tp_per_rb,approx_observation_latitude,approx_observation_longitude,gps_observation_rows,median_tp_badness,p10_tp_badness,anomaly_rate_badness,p75_gap_badness,cqi_badness,mcs_badness,bler_badness,sinr_badness,rsrq_badness,rsrp_badness,bad_entity_score_0_100,entity_label,bad_entity_rank,bad_entity_percentile,bad_entity_candidate_flag,rank_reliability
339.0,398,10,24.626939999999998,5.4300216,29.821773022562812,14.572864321608039,21.85929648241206,20.603015075376884,11.411516624999999,66.22719295,-101.51276999999999,-10.91912,10.290194,9.0,17.0,10.57520775,17.191444600000004,91.0,0.2603351858974359,-17.77294016,177.435895415,398,0.7945205479452054,0.6712328767123288,0.4863013698630137,0.4589041095890411,0.5513698630136986,0.6746575342465754,0.952054794520548,0.6986301369863014,0.6643835616438356,0.7808219178082192,67.67,pci_only_reuse_caution,35,76.71,False,HIGH
271.0,52,2,36.90391150000001,3.441414400000001,47.108403461538465,23.076923076923077,26.923076923076923,25.0,20.219371,52.34327979999999,-99.98705000000001,-11.5458985,8.976942000000001,7.0,19.0,7.88746515,10.3863626,102.5,0.3720354451138771,-17.635967819999998,177.46034103,52,0.589041095890411,0.773972602739726,0.6575342465753424,0.6301369863013698,0.9006849315068494,0.4520547945205479,0.6027397260273972,0.8082191780821918,0.773972602739726,0.726027397260274,66.91,pci_only_reuse_caution,36,76.03,False,MEDIUM
234.0,134,3,49.6417195,0.2445024,48.90186869327612,16.417910447761194,22.388059701492537,18.65671641791045,27.834565000000012,92.18449900000003,-92.6116,-15.512952,6.5563155,9.0,18.0,10.601886499999999,12.3052023,95.5,0.5453483250517599,-17.61928785,177.46545479,134,0.4178082191780822,0.9726027397260274,0.5136986301369864,0.7808219178082192,0.5513698630136986,0.5753424657534246,0.9657534246575342,0.8904109589041096,0.9863013698630136,0.3904109589041096,66.45,pci_only_reuse_caution,37,75.34,False,HIGH
196.0,183,8,29.259472,6.227791999999999,41.43976381857924,18.579234972677597,26.229508196721312,22.404371584699454,20.404261999999996,82.80852020000002,-94.77439,-10.217203,9.111701,9.0,17.0,8.527132,14.30003560000001,123.0,0.28499973509933774,-17.60717796,177.46034801,183,0.7191780821917808,0.6027397260273972,0.6438356164383562,0.6438356164383562,0.5513698630136986,0.6746575342465754,0.7671232876712328,0.773972602739726,0.5205479452054794,0.4794520547945205,66.29,pci_only_reuse_caution,38,74.66,False,HIGH
496.0,48,2,26.4024315,11.8845232,32.98742626041667,12.5,18.75,10.416666666666668,4.2782702499999985,17.653570750000004,-101.96706499999999,-11.7004655,4.8488223,7.0,12.0,8.583644,10.360280800000004,117.5,0.264055103073343,-17.596384399999998,177.503053765,48,0.7602739726027398,0.3561643835616438,0.3904109589041096,0.22602739726027396,0.9006849315068494,0.958904109589041,0.7808219178082192,0.9794520547945206,0.8013698630136986,0.8082191780821918,65.8,pci_only_reuse_caution,39,73.97,False,LOW
165.0,401,11,25.441536,4.432584,35.603438167830426,23.44139650872818,36.65835411471321,27.18204488778055,55.6159,125.730447,-87.713646,-9.936842,13.532226,10.0,20.0,7.5441413,13.013699,114.0,0.25369872222222223,-17.63206694,177.45532915,401,0.773972602739726,0.726027397260274,0.863013698630137,0.9863013698630136,0.3732876712328767,0.339041095890411,0.5342465753424658,0.3767123287671233,0.410958904109589,0.18493150684931506,65.21,pci_only_reuse_caution,40,73.29,False,HIGH
331.0,57,4,23.395697,9.5045248,25.861231859649124,17.543859649122805,35.08771929824561,26.31578947368421,4.112807750000002,64.9766817,-102.317604,-10.072704,10.046875,9.0,16.0,7.938144,10.596303399999998,70.0,0.3211312185430464,-17.80029926,177.4176363,57,0.821917808219178,0.4726027397260274,0.8356164383561644,0.2191780821917808,0.5513698630136986,0.7636986301369864,0.6232876712328768,0.7191780821917808,0.4726027397260274,0.8287671232876712,64.99,pci_only_reuse_caution,41,72.6,False,MEDIUM
232.0,387,10,30.688728,6.1803008,39.800373624031,16.020671834625322,19.896640826873384,15.503875968992247,40.0600905,71.2352142,-96.26208,-9.917763,13.8659115,9.0,17.0,9.508461,11.5516532,71.0,0.44232439024390247,-17.6166701,177.450169,387,0.7123287671232876,0.6095890410958904,0.4315068493150685,0.9178082191780822,0.5513698630136986,0.6746575342465754,0.8698630136986302,0.363013698630137,0.3835616438356164,0.541095890410959,64.32,pci_only_reuse_caution,42,71.92,False,HIGH
125.0,270,9,34.230885,5.9246736,45.51376823148148,17.037037037037038,25.555555555555554,22.962962962962962,12.217992499999998,62.76403369999999,-99.07041000000001,-10.698736,9.362549999999999,8.0,17.0,7.6896763,14.663773099999998,110.0,0.33405143812709026,-17.76269238,177.44293947,270,0.6232876712328768,0.6232876712328768,0.636986301369863,0.4863013698630137,0.75,0.6746575342465754,0.547945205479452,0.7671232876712328,0.6095890410958904,0.6643835616438356,62.95,pci_only_reuse_caution,43,71.23,False,HIGH
146.0,305,8,32.145233,0.40370560000000005,33.17614352291803,29.18032786885246,32.78688524590164,27.54098360655738,2.0945240000000016,21.907608699999997,-106.20346,-10.328993,10.581522,9.0,17.0,5.042017,10.649873000000003,84.0,0.3153114294871795,-17.7977396,177.41479424,305,0.684931506849315,0.952054794520548,0.7945205479452054,0.15753424657534246,0.5513698630136986,0.6746575342465754,0.3561643835616438,0.6506849315068494,0.5342465753424658,0.9315068493150684,62.83,pci_only_reuse_caution,44,70.55,False,HIGH
161.0,41,2,18.390673,11.925376,20.207898536585365,9.75609756097561,17.073170731707318,14.634146341463413,1.5428717500000033,35.87986075,-111.49755,-10.996053,7.2926335,8.0,15.0,8.174771,10.766962,92.0,0.2644288695652174,-17.65516926,177.43827289,41,0.8698630136986302,0.3493150684931507,0.3424657534246575,0.136986301369863,0.75,0.821917808219178,0.7054794520547946,0.8698630136986302,0.678082191780822,0.9863013698630136,62.79,pci_only_reuse_caution,45,69.86,False,LOW
