sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket,expected_tp_p75,expected_tp_median,expected_tp_mean,expected_tp_group_n,expected_tp_p75_ci_low,expected_tp_p75_ci_high,expected_tp_p75_ci_width,fallback_level,group_cols,reference_scope,reference_name
Fair,Fair,3.0,1,356,high_rb_usage,134.8689,110.174358,104.0896210625,64,123.8812975,141.29782,17.4165225,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Fair,3.0,28,9310,high_rb_usage,156.82002,133.84724,119.91008534042554,47,144.2102155,168.717238375,24.50702287499999,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Good,1.0,1,356,low_rb_usage,13.759688,9.645692,9.41145094,60,12.29019715,14.723419349999988,2.433222199999989,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Good,1.0,1,500,low_rb_usage,18.601831,14.692656,15.677976262162163,37,17.726725375,22.553017,4.826291625,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Good,1.0,28,9310,low_rb_usage,11.256032,4.744992,7.151824981479012,81,7.0658544,14.16404339999999,7.09818899999999,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Good,1.0,3,1850,below_median_rb_usage,44.94051,27.104748,30.9802565,32,32.3816493375,52.25769789375,19.876048556249998,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Good,1.0,3,1850,low_rb_usage,25.11497,16.6146605,18.618209200000003,30,20.029132037500002,32.16216275,12.133030712499998,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Good,1.0,41,41384,below_median_rb_usage,28.8847885,25.313608,24.85663458064516,31,26.4572725875,32.0201498125,5.562877225000001,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Good,1.0,41,41384,low_rb_usage,17.74369575,12.294336000000001,13.238565800000002,88,16.33758364375,20.86388289375,4.526299249999997,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Good,2.0,1,356,below_median_rb_usage,20.101506,13.377224,16.211714495945944,74,17.201428981249997,25.375412362499997,8.17398338125,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Good,2.0,1,356,low_rb_usage,13.35579175,10.072584,10.521422871414286,35,11.8193044,14.559804099999992,2.740499699999992,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Good,2.0,1,356,medium_rb_usage,47.206043,33.277386,37.073811966101694,59,40.732723125,61.79460449999996,21.061881374999963,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Good,2.0,1,500,below_median_rb_usage,26.566032,18.734144,19.69041851754386,57,23.897038175,29.76981842499999,5.872780249999991,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Good,2.0,1,500,high_rb_usage,88.7379975,68.05795499999999,68.62151856730769,104,80.42040639375,98.56871375,18.14830735625,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Good,2.0,1,500,low_rb_usage,15.22431,7.80636,9.558270172413794,58,11.506812199999999,16.190217425,4.683405225000001,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Good,2.0,1,500,medium_rb_usage,54.92370175,41.094232500000004,41.23214884313725,102,50.3767063625,60.69152464374999,10.314818281249991,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Good,2.0,28,9310,high_rb_usage,70.41693000000001,49.4167765,51.11399272222223,54,59.887623937499995,87.4370225,27.549398562500002,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Good,2.0,28,9310,medium_rb_usage,58.0321715,36.052895,34.99933870454545,44,43.697341375,64.972728,21.275386625000003,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Good,2.0,3,1850,below_median_rb_usage,27.218733999999998,19.4450595,21.004027016666665,90,24.710257,29.021973331249995,4.311716331249997,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Good,2.0,3,1850,high_rb_usage,71.9723615,56.7739675,59.80804797368421,114,66.398074675,78.40408,12.00600532499999,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Good,2.0,3,1850,low_rb_usage,11.450652,5.774352,7.792163413793103,58,7.54868,15.752945199999985,8.204265199999984,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Good,2.0,3,1850,medium_rb_usage,53.486081999999996,40.558799,41.37052513095238,84,45.022377,63.11806968749999,18.09569268749999,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Good,2.0,41,40790,below_median_rb_usage,21.573889,15.684288,17.5842127,45,20.0102436,30.199535,10.189291400000002,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Good,2.0,41,40790,high_rb_usage,70.60763,54.872257,56.17760046919431,211,65.554308,75.746953,10.192644999999999,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Good,2.0,41,40790,medium_rb_usage,47.696416,29.8122,35.98052624444445,135,37.3856051,59.86748902499999,22.48188392499999,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Good,2.0,41,40988,below_median_rb_usage,31.36665,13.054836,18.971445508139535,86,20.38351710625,36.59577542499998,16.212258318749978,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Good,2.0,41,40988,high_rb_usage,51.307278,42.253143,44.98790762021858,183,47.637936,58.676051474999994,11.03811547499999,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Good,2.0,41,40988,low_rb_usage,16.90039675,4.80216,9.447315118931034,58,9.065770850000002,22.357907750000003,13.292136900000001,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Good,2.0,41,40988,medium_rb_usage,43.1372995,30.9425805,35.030167526666666,150,39.31956,46.265174512499996,6.9456145124999935,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Good,2.0,41,41186,high_rb_usage,64.152885,50.845222,50.515920099173556,121,58.0192033,68.853516,10.834312699999998,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Good,2.0,41,41186,low_rb_usage,9.700224,5.8674,6.339224115789474,57,8.73676,13.561984,4.825224,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Good,2.0,41,41186,medium_rb_usage,52.233307499999995,37.0926,37.51969835185185,135,46.760631124999996,57.833584,11.072952875000006,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Good,2.0,41,41384,below_median_rb_usage,32.069935,21.861752,22.15014439344262,61,28.350492574999997,34.18846179999999,5.837969224999995,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
