id,timestamp,id_route_test_label,id_test_type,Activity.Activity,Activity.Duration,Activity.End TimeStamp,Activity.Power,Activity.Quality,Activity.SINR,Activity.Start TimeStamp,Activity.Status,Activity.Tech,Activity.Throughput,Activity.Start TimeStamp_parsed,Activity.End TimeStamp_parsed
542020041221088+20250825152519+Fiji-Nadi-MO-D!20250825134008,2025-08-25 03:39:57+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,106156.0,2025-08-25T03:39:57.077000+02:00,-68.41,-8.27,13.22,2025-08-25T03:38:10.922000+02:00,Success,HSPA+,96.0,2025-08-25 03:38:10.922000+02:00,2025-08-25 03:39:57.077000+02:00
542020041221088+20250825152539+Fiji-Nadi-MO-D!20250825134211,2025-08-25 03:42:00+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,103122.0,2025-08-25T03:42:00.578000+02:00,-72.96,-2.29,8.11,2025-08-25T03:40:17.456000+02:00,Success,HSPA+,8.0,2025-08-25 03:40:17.456000+02:00,2025-08-25 03:42:00.578000+02:00
542020041221088+20250825152559+Fiji-Nadi-MO-D!20250825134408,2025-08-25 03:43:57+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,97107.0,2025-08-25T03:43:57.729000+02:00,-59.73,-6.04,11.8,2025-08-25T03:42:20.622000+02:00,Success,HSPA+,672.0,2025-08-25 03:42:20.622000+02:00,2025-08-25 03:43:57.729000+02:00
542020041221088+20250825152619+Fiji-Nadi-MO-D!20250825134607,2025-08-25 03:45:56+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,98083.0,2025-08-25T03:45:56.043000+02:00,-75.51,-7.36,11.9,2025-08-25T03:44:17.961000+02:00,Failed,HSPA+,664.0,2025-08-25 03:44:17.961000+02:00,2025-08-25 03:45:56.043000+02:00
542020041221088+20250825152659+Fiji-Nadi-MO-D!20250825134758,2025-08-25 03:47:47+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,91083.0,2025-08-25T03:47:47.409000+02:00,-95.4,-12.42,6.25,2025-08-25T03:46:16.326000+02:00,Failed,NR5G NSA,2672.0,2025-08-25 03:46:16.326000+02:00,2025-08-25 03:47:47.409000+02:00
542020041221088+20250825152739+Fiji-Nadi-MO-D!20250825134958,2025-08-25 03:49:47+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,99116.0,2025-08-25T03:49:47.676000+02:00,-88.57,-7.48,5.58,2025-08-25T03:48:08.560000+02:00,Success,HSPA+,72.0,2025-08-25 03:48:08.560000+02:00,2025-08-25 03:49:47.676000+02:00
542020041221088+20250825152820+Fiji-Nadi-MO-D!20250825135204,2025-08-25 03:51:53+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,105120.0,2025-08-25T03:51:53.223000+02:00,-87.21,-1.24,7.01,2025-08-25T03:50:08.103000+02:00,Success,HSPA+,8.0,2025-08-25 03:50:08.103000+02:00,2025-08-25 03:51:53.223000+02:00
542020041221088+20250825152900+Fiji-Nadi-MO-D!20250825135404,2025-08-25 03:53:53+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,100153.0,2025-08-25T03:53:53.551000+02:00,-84.94,-1.82,5.13,2025-08-25T03:52:13.399000+02:00,Success,HSPA+,8.0,2025-08-25 03:52:13.399000+02:00,2025-08-25 03:53:53.551000+02:00
542020041221088+20250825152940+Fiji-Nadi-MO-D!20250825135608,2025-08-25 03:55:57+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,103132.0,2025-08-25T03:55:57.095000+02:00,-75.3,-9.77,9.76,2025-08-25T03:54:13.964000+02:00,Success,HSPA+,72.0,2025-08-25 03:54:13.964000+02:00,2025-08-25 03:55:57.095000+02:00
542020041221088+20250825153020+Fiji-Nadi-MO-D!20250825135812,2025-08-25 03:58:01+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,104128.0,2025-08-25T03:58:01.480000+02:00,-80.51,-2.51,10.07,2025-08-25T03:56:17.352000+02:00,Success,HSPA+,8.0,2025-08-25 03:56:17.352000+02:00,2025-08-25 03:58:01.480000+02:00
