serving_cell_key,rows,sessions,median_tp_mbps,p10_tp_mbps,mean_tp_mbps,low_tp_pct,stat_anomaly_pct,rca_handoff_pct,median_p75_gap_mbps,p90_p75_gap_mbps,median_rsrp_dbm,median_rsrq_db,median_sinr_db,median_cqi,median_mcs,median_bler_pct,p90_bler_pct,median_rb_usage,median_tp_per_rb,median_tp_badness,p10_tp_badness,anomaly_rate_badness,p75_gap_badness,cqi_badness,mcs_badness,bler_badness,sinr_badness,rsrq_badness,rsrp_badness,bad_entity_score_0_100,entity_label,bad_entity_rank,bad_entity_percentile,bad_entity_candidate_flag,rank_reliability,serving_pci,serving_eci,serving_earfcn,serving_band
ECI:1069126.0,124,5,7.11704,2.0053848,9.457514277419355,69.35483870967742,72.58064516129032,59.67741935483871,2.4886200000000005,13.2359452,-114.09296499999999,-11.481731,4.088952,6.0,10.0,8.7301335,17.7500952,86.0,0.08247973462681896,0.9553903345724907,0.8252788104089219,0.9591078066914498,0.1970260223048327,0.9553903345724907,0.9535315985130112,0.79182156133829,0.9851301115241635,0.7769516728624535,0.9962825278810409,84.34,cell_key,11,96.28,True,HIGH,138.0,1069126.0,9310.0,28.0
ECI:1069086.0,106,4,9.039972,1.71634,11.565416273584905,54.71698113207547,57.54716981132076,46.22641509433962,3.501080000000001,16.839323999999998,-112.253505,-11.27045725,4.1204877,7.0,9.0,8.843848000000001,11.8816685,86.0,0.11144181052631577,0.9405204460966543,0.8401486988847584,0.9330855018587361,0.23048327137546468,0.8736059479553904,0.9739776951672863,0.8215613382899628,0.9814126394052045,0.7211895910780669,0.9888475836431226,83.52,cell_key,12,95.91,True,HIGH,138.0,1069086.0,1850.0,3.0
ECI:1068749.0,45,2,12.298896,0.0122224,10.099310966666668,42.22222222222222,42.22222222222222,24.444444444444443,0.0,13.785716800000001,-99.8206,-12.263672,4.5058827,6.0,13.0,9.302325,18.629729200000003,45.0,0.27416995555555557,0.9182156133828996,0.9888475836431226,0.8698884758364313,0.11895910780669144,0.9553903345724907,0.8773234200743495,0.8736059479553904,0.9702602230483272,0.8698884758364313,0.6951672862453532,83.32,cell_key,13,95.54,True,LOW,402.0,1068749.0,356.0,1.0
ECI:1079062.0,50,2,12.715484,6.49992,14.754253949999999,32.0,38.0,24.0,50.47035425,72.5671364,-95.866263,-10.817622,8.508994000000001,7.0,15.0,8.843197,12.713922150000002,68.0,0.22776979487179488,0.9107806691449815,0.620817843866171,0.8308550185873605,0.9479553903345725,0.8736059479553904,0.775092936802974,0.8141263940520446,0.7881040892193308,0.6394052044609665,0.49814126394052044,81.86,cell_key,14,95.17,True,MEDIUM,169.0,1079062.0,500.0,1.0
ECI:1066039.0,31,4,12.571728,1.789168,30.84557904516129,41.935483870967744,51.61290322580645,45.16129032258064,14.483108000000001,37.724410000000006,-107.3167,-13.079044,3.0320985,8.0,10.0,6.8578553,16.516129,139.0,0.09483666666666667,0.9144981412639405,0.8364312267657993,0.912639405204461,0.5130111524163569,0.7397769516728625,0.9535315985130112,0.5315985130111525,1.0,0.9330855018587361,0.9070631970260223,81.78,cell_key,15,94.8,True,LOW,125.0,1066039.0,41384.0,41.0
ECI:1066301.0,76,3,11.299451999999999,1.31406,14.57715090394737,46.05263157894737,55.26315789473685,38.15789473684211,19.344348999999998,45.8334615,-109.494575,-11.606956,6.695426299999999,8.0,14.0,7.39588285,12.7651495,85.5,0.13060014285714286,0.9330855018587361,0.8661710037174721,0.9256505576208178,0.5910780669144982,0.7397769516728625,0.8345724907063197,0.5576208178438662,0.8884758364312267,0.7992565055762082,0.9628252788104089,81.77,cell_key,16,94.42,True,MEDIUM,487.0,1066301.0,40790.0,41.0
ECI:1079243.0,78,3,6.8998158499999995,3.4219704,7.478228393589744,80.76923076923077,83.33333333333334,62.82051282051282,3.850863999999999,9.867742395,-99.68152,-10.56504775,8.23281,7.0,15.5,13.5322545,23.5750618,16.0,0.36718079365079365,0.9591078066914498,0.758364312267658,0.9739776951672863,0.241635687732342,0.8736059479553904,0.7453531598513011,0.9962825278810409,0.8104089219330854,0.587360594795539,0.6877323420074349,81.41,cell_key,17,94.05,True,MEDIUM,383.0,1079243.0,356.0,1.0
ECI:1076796.0,40,4,2.215852,0.0153872,3.3938037967500003,95.0,97.5,35.0,20.775616999999997,44.987931200000006,-108.296435,-11.05546875,8.1294705,8.0,6.5,2.5651253499999997,11.533973200000002,57.0,0.035005140543666866,0.9925650557620818,0.9851301115241635,0.9962825278810409,0.6171003717472119,0.7397769516728625,0.9888475836431226,0.040892193308550186,0.8178438661710037,0.6951672862453532,0.9256505576208178,81.01,cell_key,18,93.68,True,LOW,184.0,1076796.0,40790.0,41.0
ECI:1067296.0,40,4,13.71842375,1.0832560000000002,24.1217481625,40.0,50.0,40.0,13.031754125000003,38.025445500000004,-106.9515725,-11.664538,6.2618382,7.5,11.5,7.2996111,13.040142600000001,96.5,0.11009076169131929,0.8921933085501859,0.8736059479553904,0.9070631970260223,0.48698884758364314,0.8234200743494424,0.9219330855018587,0.550185873605948,0.895910780669145,0.8029739776951673,0.8996282527881041,80.95,cell_key,19,93.31,True,LOW,110.0,1067296.0,1850.0,3.0
ECI:1065503.0,31,3,17.551687,0.351496,17.91564472580645,41.935483870967744,45.16129032258064,12.903225806451612,10.511985500000002,27.64540025,-105.637115,-11.864583,4.6892858,6.0,11.0,6.225374,10.26694,86.0,0.16860224390243903,0.828996282527881,0.9330855018587361,0.895910780669145,0.4312267657992565,0.9553903345724907,0.9330855018587361,0.4795539033457249,0.966542750929368,0.8364312267657993,0.8698884758364313,80.58,cell_key,20,92.94,True,LOW,132.0,1065503.0,1850.0,3.0
ECI:1076289.0,194,4,11.740904,4.0923632,13.972720135051546,37.628865979381445,43.29896907216495,28.865979381443296,25.984392750000005,57.36446420000001,-102.865735,-10.747864,9.9489645,7.0,16.0,8.4001695,13.338279300000005,77.0,0.17011745714285714,0.929368029739777,0.7211895910780669,0.8810408921933085,0.7286245353159851,0.8736059479553904,0.7118959107806692,0.7026022304832714,0.6728624535315985,0.6356877323420075,0.7955390334572491,80.26,cell_key,21,92.57,True,HIGH,179.0,1076289.0,40988.0,41.0
ECI:1077825.0,184,8,6.288084,1.0284432000000001,8.10917422429348,72.28260869565217,77.17391304347827,61.95652173913043,62.72755699999999,99.91152525,-92.36057249999999,-10.862463,12.278529500000001,9.0,17.0,6.944144,15.366931500000002,101.0,0.06851731713900136,0.966542750929368,0.8810408921933085,0.9628252788104089,0.9776951672862454,0.5892193308550185,0.6449814126394052,0.5390334572490706,0.5241635687732342,0.654275092936803,0.35315985130111527,79.94,cell_key,22,92.19,True,HIGH,167.0,1077825.0,40988.0,41.0
