id,Activity.Activity,Activity.Status,Activity.Tech,download_raw_start_utc,download_raw_end_utc,download_analysis_start_utc,download_analysis_end_utc,raw_duration_seconds,analysis_duration_seconds
542020041221088+20250827133446+Fiji-Nadi-LTE-DL-D!20250827125432,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-27 00:50:55.728000+00:00,2025-08-27 00:53:55.858000+00:00,2025-08-27 00:51:00.728000+00:00,2025-08-27 00:53:53.858000+00:00,180.13,173.13
542020041221088+20250827133707+Fiji-Nadi-LTE-DL-D!20250827125859,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-27 00:53:56.865000+00:00,2025-08-27 00:56:57.013000+00:00,2025-08-27 00:54:01.865000+00:00,2025-08-27 00:56:55.013000+00:00,180.148,173.148
542020041221088+20250827133827+Fiji-Nadi-LTE-DL-D!20250827130111,HTTP/HTTPS Download,Failed,LTE CA1,2025-08-27 00:56:57.991000+00:00,2025-08-27 00:59:58.109000+00:00,2025-08-27 00:57:02.991000+00:00,2025-08-27 00:59:56.109000+00:00,180.118,173.118
542020041221088+20250827133907+Fiji-Nadi-LTE-DL-D!20250827130324,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-27 00:59:59.109000+00:00,2025-08-27 01:02:59.223000+00:00,2025-08-27 01:00:04.109000+00:00,2025-08-27 01:02:57.223000+00:00,180.114,173.114
542020041221088+20250827134247+Fiji-Nadi-LTE-DL-D!20250827130749,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-27 01:03:00.218000+00:00,2025-08-27 01:06:00.339000+00:00,2025-08-27 01:03:05.218000+00:00,2025-08-27 01:05:58.339000+00:00,180.121,173.121
542020041221088+20250827134347+Fiji-Nadi-LTE-DL-D!20250827131002,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-27 01:06:01.341000+00:00,2025-08-27 01:09:01.465000+00:00,2025-08-27 01:06:06.341000+00:00,2025-08-27 01:08:59.465000+00:00,180.124,173.124
542020041221088+20250827134427+Fiji-Nadi-LTE-DL-D!20250827131213,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-27 01:09:02.465000+00:00,2025-08-27 01:12:02.594000+00:00,2025-08-27 01:09:07.465000+00:00,2025-08-27 01:12:00.594000+00:00,180.129,173.129
542020041221088+20250827134808+Fiji-Nadi-LTE-DL-D!20250827131638,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-27 01:12:03.576000+00:00,2025-08-27 01:15:03.681000+00:00,2025-08-27 01:12:08.576000+00:00,2025-08-27 01:15:01.681000+00:00,180.105,173.105
542020041221088+20250827134908+Fiji-Nadi-LTE-DL-D!20250827131851,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-27 01:15:04.686000+00:00,2025-08-27 01:18:04.791000+00:00,2025-08-27 01:15:09.686000+00:00,2025-08-27 01:18:02.791000+00:00,180.105,173.105
542020041221088+20250827134948+Fiji-Nadi-LTE-DL-D!20250827132103,HTTP/HTTPS Download,Failed,LTE CA1,2025-08-27 01:18:05.795000+00:00,2025-08-27 01:21:05.905000+00:00,2025-08-27 01:18:10.795000+00:00,2025-08-27 01:21:03.905000+00:00,180.11,173.11
