dataset,column,family,dtype,full_non_null_count,full_missing_count,full_missing_pct,sample_unique_count,sample_unique_pct,sample_non_null_examples,sample_min,sample_max,sample_mean,sample_std,sample_top_values
drive_clean_throughput_base,LTE - SecondaryCell 1 - SCell1_BandWidth_UL,LTE,float64,807,31667,97.515,807,100.0,"['20.00000000004564', '20.000000000457703', '20.000000001126242', '19.99999999914727', '20.000000000339806']",19.999999996967237,20.00000000359079,19.999999999997094,9.590321327064108e-10,
drive_clean_throughput_base,LTE - SecondaryCell 1 - SCell1_CQI,LTE,float64,1164,31310,96.416,1164,100.0,"['12.03561977946097', '12.88869416530409', '13.116304591176643', '12.902305439806504', '10.80851930896984']",0.726084928525206,15.33955247583346,9.616037911765892,3.069112903335959,
drive_clean_throughput_base,LTE - SecondaryCell 1 - SCell1_CQI_CW0,LTE,float64,1164,31310,96.416,1164,100.0,"['12.250719233672232', '12.883073086936953', '12.884106187106871', '13.050092972825576', '10.87878172637659']",0.7992116328321459,15.37886010194371,10.049531178215444,3.1851445831620353,
drive_clean_throughput_base,LTE - SecondaryCell 1 - SCell1_TransMode,LTE,object,1176,31298,96.379,3,0.255,"['TM3-OL SM', 'TM3-OL SM', 'TM3-OL SM', 'TM3-OL SM', 'TM3-OL SM']",,,,,"{'TM4-CL SM': 739, 'TM7-SISO P7': 367, 'TM3-OL SM': 70}"
drive_clean_throughput_base,LTE - Serving - R15_Support,LTE,float64,1286,31188,96.04,1286,100.0,"['1.000000000705537', '1.0000000016296073', '1.0000000002667002', '1.0000000004237928', '1.000000000321139']",0.9999999967483555,1.0000000035252044,1.000000000028868,9.828183729254155e-10,
drive_clean_throughput_base,LTE - SecondaryCell 1 Radio - SCell1_RSRP,LTE,float64,1595,30879,95.088,1595,100.0,"['-81.73726479898654', '-80.70105867317659', '-82.9618400094709', '-83.9103965182344', '-84.64102523648555']",-120.01559849757543,-62.669684772891806,-94.64089176853338,9.510633319037161,
drive_clean_throughput_base,LTE - SecondaryCell 1 Radio - SCell1_RSRQ,LTE,float64,1595,30879,95.088,1595,100.0,"['-6.570157059964723', '-6.8754604454179296', '-7.128798641377354', '-7.853276550329687', '-7.980120475179041']",-28.58858350329545,-5.206935834762522,-10.595346809401548,3.510490417245008,
drive_clean_throughput_base,LTE - SecondaryCell 1 Radio - SCell1_RSSI,LTE,float64,1595,30879,95.088,1595,100.0,"['-54.89644368792906', '-53.09441163671334', '-55.03471414012413', '-55.42268882043331', '-56.939247207109304']",-85.49989146873739,-29.73674035920409,-63.76979957990857,8.91039953828678,
drive_clean_throughput_base,LTE - SecondaryCell 1 Radio - SCell1_SINR,LTE,float64,1595,30879,95.088,1595,100.0,"['18.129332175599014', '18.378558998366948', '18.282832865242685', '18.40908701270584', '11.885415732557115']",-11.135710617759983,30.351165847276384,10.246230732946774,7.010597123247794,
drive_clean_throughput_base,LTE - SecondaryCell 1 Radio - SCell1_Frame_Timing_0,LTE,float64,1603,30871,95.064,1603,100.0,"['175696.85030793617', '180183.8479722911', '183640.36663493776', '187982.86240159525', '177892.13422517828']",2103.3569284948608,314739.764055518,147217.15157569645,87307.17061564188,
drive_clean_throughput_base,LTE - SecondaryCell 1 Radio - SCell1_Frame_Timing_1,LTE,float64,1603,30871,95.064,1603,100.0,"['190836.84884978738', '184497.474829302', '189602.91145701348', '180913.93352750107', '182192.41302939272']",-1762.7481099732468,314894.64244290686,147104.11024335344,87325.96799960735,
drive_clean_throughput_base,LTE - SecondaryCell 1 Radio - SCell1_eNBTxDifference,LTE,float64,2441,30033,92.483,2441,100.0,"['4.104065236698796', '4.718381617151093', '5.285423165852533', '3.7295685876431897', '1.3092263706719294']",-0.23590747548389418,16.70170855226266,3.793972243225962,3.213701275929363,
drive_clean_throughput_base,LTE - SecondaryCell 1 - SCell1_Band,LTE,float64,3488,28986,89.259,3488,100.0,"['1.8214718281950533', '1.3248504357258544', '3.3696417518006285', '2.2937235065925443', '1.747536694228059']",-1.8603320852247522,44.07095199184558,23.27578354207761,19.04465044941479,
drive_clean_throughput_base,LTE - SecondaryCell 1 - SCell1_BandWidth_DL,LTE,float64,3488,28986,89.259,3488,100.0,"['9.818525279251723', '9.867967009141442', '9.787063585441338', '10.229793917655709', '9.845833745872083']",9.44750189883834,20.574620352532246,18.412913821877996,3.659307290365407,
drive_clean_throughput_base,LTE - SecondaryCell 1 - SCell1_EARFCN_DL,LTE,float64,3488,28986,89.259,3488,100.0,"['-844.1097181351076', '-93.72500485434938', '93.34865551882825', '-1158.2745162588024', '195.37392555551216']",-2454.9861441173766,44799.31366960954,22048.701460812143,19696.070517470187,
drive_clean_throughput_base,LTE - SecondaryCell 1 - SCell1_PCI,LTE,float64,3488,28986,89.259,3488,100.0,"['345.5113255610105', '352.88571867157077', '344.58359271724515', '353.827414757052', '354.15803195621476']",-8.087796771255482,503.55522345820714,241.4128924091448,114.93316773540639,
drive_clean_throughput_base,Extra_KPIs.UMTS Handover Interruption Time,Extra_KPIs,float64,3748,28726,88.458,3748,100.0,"['0.5107558629039036', '0.6762622953640698', '-0.22401094436856972', '-4.031505279872872', '-1.9276248872515382']",-11.272412994627086,611.3625586618008,19.89003212708778,68.42883890457288,
drive_clean_throughput_base,LTE - PrimaryCell - PCell_CQI_CW1,LTE,float64,3801,28673,88.295,3801,100.0,"['5.992362558543054', '6.012194489492021', '8.137405494440522', '6.142118547296352', '9.123252466857803']",1.766339709206574,15.465101278984607,8.971082904605424,3.217361632730155,
drive_clean_throughput_base,LTE - PrimaryCell - PCell_MCS_CW1,LTE,float64,4053,28421,87.519,4053,100.0,"['18.211023083557016', '15.260828683170805', '18.465374124163738', '14.16567285088577', '3.912914160401377']",-0.7534166821615291,31.618147896345572,12.232899906357435,7.600747575951815,
drive_clean_throughput_base,LTE - PrimaryCell - PCell_Modulation_CW1,LTE,object,4053,28421,87.519,4,0.099,"['16QAM', '16QAM', '16QAM', '16QAM', 'QPSK']",,,,,"{'64QAM': 1469, '16QAM': 1333, 'QPSK': 1165, '256QAM': 86}"
drive_clean_throughput_base,LTE.RACH.RACH_Latency,LTE,float64,4126,28348,87.294,4126,100.0,"['-17.846228359018387', '2.6114394632491633', '-3.627476129773159', '-7.930618346308016', '19.326227753364194']",-117.54930421238775,9345.546043031383,52.82756746576334,576.4811339142042,
