id,timestamp,id_route_test_label,id_test_type,Activity.Remote IPs,Activity.Source Ports,Activity.TTFB,Activity.DNS Resolution Time,Activity.Remote Address,Activity.Sub Activity,Activity.Error,Activity.Band,Activity.LCI,Activity.ARFCN,Activity.Private IP,Activity.Activity,Activity.Connection Reset,Activity.Duplicated ACK,Activity.Duration,Activity.End TimeStamp,Activity.Fast Retransmission,Activity.Out of Order,Activity.Packet Loss Rate,Activity.Power,Activity.Public IP,Activity.Quality,Activity.SINR,Activity.Size,Activity.Spurious Retransmission,Activity.Start TimeStamp,Activity.Status,Activity.TCP Window Update,Activity.Tech,Activity.Throughput,Activity.Throughput WIFI,Activity.Start TimeStamp_parsed,Activity.End TimeStamp_parsed
542020041221088+20250825145646+Fiji-Nadi-MO-D!20250825131926,2025-08-25 03:19:15+02:00,Fiji-Nadi-MO-D,MO-D,,,,,,,,8.0,107.0,3066.0,10.39.159.254,MO Call,0.0,0.0,104131.0,2025-08-25T03:19:15.666000+02:00,0.0,0.0,0.0,-76.91,217.53.250.137,-10.04,9.29,918.0,0.0,2025-08-25T03:17:31.535000+02:00,Success,0.0,HSPA+,64.0,0.0,2025-08-25 03:17:31.535000+02:00,2025-08-25 03:19:15.666000+02:00
542020041221088+20250825145726+Fiji-Nadi-MO-D!20250825132131,2025-08-25 03:21:20+02:00,Fiji-Nadi-MO-D,MO-D,,,,,,,,8.0,308.0,3087.0,10.39.165.120,MO Call,0.0,0.0,105175.0,2025-08-25T03:21:20.978000+02:00,0.0,0.0,0.0,-77.39,82.132.238.57,-8.48,5.12,517.0,0.0,2025-08-25T03:19:35.804000+02:00,Success,0.0,HSPA+,32.0,0.0,2025-08-25 03:19:35.804000+02:00,2025-08-25 03:21:20.978000+02:00
542020041221088+20250825145746+Fiji-Nadi-MO-D!20250825132336,2025-08-25 03:23:25+02:00,Fiji-Nadi-MO-D,MO-D,,,,,,,,8.0,113.0,3066.0,10.59.81.11,MO Call,0.0,0.0,104233.0,2025-08-25T03:23:25.619000+02:00,0.0,0.0,0.0,-78.64,82.132.233.116,-10.67,4.65,974.0,0.0,2025-08-25T03:21:41.387000+02:00,Success,0.0,HSPA+,72.0,0.0,2025-08-25 03:21:41.387000+02:00,2025-08-25 03:23:25.619000+02:00
542020041221088+20250825145826+Fiji-Nadi-MO-D!20250825132543,2025-08-25 03:25:32+02:00,Fiji-Nadi-MO-D,MO-D,,,,,,,,8.0,300.0,3066.0,10.59.86.28,MO Call,0.0,0.0,107170.0,2025-08-25T03:25:32.870000+02:00,0.0,0.0,0.0,-87.48,82.132.220.115,-11.98,7.46,880.0,0.0,2025-08-25T03:23:45.700000+02:00,Success,0.0,HSPA+,64.0,0.0,2025-08-25 03:23:45.700000+02:00,2025-08-25 03:25:32.870000+02:00
542020041221088+20250825150408+Fiji-Nadi-MO-D!20250825132748,2025-08-25 03:27:37+02:00,Fiji-Nadi-MO-D,MO-D,,,,,,,,,55.0,72.0,10.49.182.207,MO Call,0.0,0.0,104152.0,2025-08-25T03:27:37.127000+02:00,0.0,0.0,0.0,-88.78,No Network Available,-2.04,4.05,507.0,0.0,2025-08-25T03:25:52.976000+02:00,Success,0.0,HSPA+,32.0,0.0,2025-08-25 03:25:52.976000+02:00,2025-08-25 03:27:37.127000+02:00
542020041221088+20250825152338+Fiji-Nadi-MO-D!20250825132951,2025-08-25 03:29:40+02:00,Fiji-Nadi-MO-D,MO-D,,,,,,,,,6.0,67.0,10.49.189.23,MO Call,0.0,0.0,103163.0,2025-08-25T03:29:40.331000+02:00,0.0,0.0,0.0,-86.95,No Network Available,-0.73,5.78,123.0,0.0,2025-08-25T03:27:57.168000+02:00,Success,0.0,HSPA+,8.0,0.0,2025-08-25 03:27:57.168000+02:00,2025-08-25 03:29:40.331000+02:00
542020041221088+20250825152359+Fiji-Nadi-MO-D!20250825133147,2025-08-25 03:31:36+02:00,Fiji-Nadi-MO-D,MO-D,,,,,,,,8.0,136.0,3087.0,10.49.193.122,MO Call,0.0,0.0,96194.0,2025-08-25T03:31:36.290000+02:00,0.0,0.0,0.0,-86.01,105.204.156.146,-8.36,7.95,3972.0,0.0,2025-08-25T03:30:00.097000+02:00,Success,0.0,HSPA+,328.0,0.0,2025-08-25 03:30:00.097000+02:00,2025-08-25 03:31:36.290000+02:00
542020041221088+20250825152419+Fiji-Nadi-MO-D!20250825133349,2025-08-25 03:33:38+02:00,Fiji-Nadi-MO-D,MO-D,,,,,,,,8.0,268.0,3087.0,10.49.197.240,MO Call,0.0,0.0,102136.0,2025-08-25T03:33:38.975000+02:00,0.0,0.0,0.0,-72.51,82.132.198.181,-8.48,10.18,1000.0,0.0,2025-08-25T03:31:56.839000+02:00,Success,0.0,HSPA+,72.0,0.0,2025-08-25 03:31:56.839000+02:00,2025-08-25 03:33:38.975000+02:00
542020041221088+20250825152439+Fiji-Nadi-MO-D!20250825133556,2025-08-25 03:35:45+02:00,Fiji-Nadi-MO-D,MO-D,,,,,,,,8.0,268.0,3066.0,10.59.112.119,MO Call,0.0,0.0,106219.0,2025-08-25T03:35:45.265000+02:00,0.0,0.0,0.0,-69.08,82.132.219.222,-9.52,8.7,1152.0,0.0,2025-08-25T03:33:59.047000+02:00,Success,0.0,HSPA+,80.0,0.0,2025-08-25 03:33:59.047000+02:00,2025-08-25 03:35:45.265000+02:00
542020041221088+20250825152459+Fiji-Nadi-MO-D!20250825133801,2025-08-25 03:37:50+02:00,Fiji-Nadi-MO-D,MO-D,,,,,,,,8.0,25.0,3066.0,10.39.209.89,MO Call,0.0,0.0,105218.0,2025-08-25T03:37:50.558000+02:00,0.0,0.0,0.0,-69.41,82.132.247.246,-5.92,13.23,846.0,0.0,2025-08-25T03:36:05.340000+02:00,Success,0.0,HSPA+,64.0,0.0,2025-08-25 03:36:05.340000+02:00,2025-08-25 03:37:50.558000+02:00
